k_Mpc^-1,T_full,T_proxy,shape_full,shape_proxy
0.0050119,1.1073,1.3262,1.0000,1.0000
0.0066651,1.1072,1.3255,1.0000,0.9994
0.0088638,1.1072,1.3241,0.9999,0.9984
0.011788,1.1070,1.3217,0.9998,0.9966
0.015676,1.1068,1.3176,0.9996,0.9935
0.020847,1.1064,1.3105,0.9992,0.9882
0.027724,1.1056,1.2987,0.9985,0.9792
0.036869,1.1043,1.2795,0.9973,0.9648
0.049032,1.1021,1.2502,0.9953,0.9427
0.065206,1.0981,1.2091,0.9917,0.9117
0.086715,1.0913,1.1569,0.9856,0.8724
0.11532,1.0800,1.0982,0.9753,0.8281
0.15336,1.0618,1.0387,0.9589,0.7832
0.20395,1.0344,0.9825,0.9342,0.7408
0.27123,0.9977,0.9315,0.9010,0.7023
0.3607,0.9557,0.8856,0.8631,0.6677
0.47968,0.9147,0.8443,0.8261,0.6366
0.63791,0.8757,0.8073,0.7909,0.6088
0.84834,0.8387,0.7746,0.7575,0.5841
1.1282,0.8048,0.7463,0.7268,0.5627
1.5003,0.7744,0.7227,0.6994,0.5449
1.9953,0.7480,0.7040,0.6755,0.5308
