z,a,w,c_s2,c_vis2,noncanonicity_NX
0.0000,1.00000,-1.00000,4.600e-06,0.0,2.17390e+05
0.0500,0.95238,-1.00000,4.600e-06,0.0,2.17390e+05
0.1000,0.90909,-1.00000,4.600e-06,0.0,2.17390e+05
0.1500,0.86957,-1.00000,4.600e-06,0.0,2.17390e+05
0.2000,0.83333,-1.00000,4.600e-06,0.0,2.17390e+05
0.2500,0.80000,-1.00000,4.600e-06,0.0,2.17390e+05
0.3000,0.76923,-1.00000,4.600e-06,0.0,2.17390e+05
0.3500,0.74074,-1.00000,4.600e-06,0.0,2.17390e+05
0.4000,0.71429,-1.00000,4.600e-06,0.0,2.17390e+05
0.4500,0.68966,-1.00000,4.600e-06,0.0,2.17390e+05
0.5000,0.66667,-1.00000,4.600e-06,0.0,2.17390e+05
0.5500,0.64516,-1.00000,4.600e-06,0.0,2.17390e+05
0.6000,0.62500,-1.00000,4.600e-06,0.0,2.17390e+05
0.6500,0.60606,-1.00000,4.600e-06,0.0,2.17390e+05
0.7000,0.58824,-1.00000,4.600e-06,0.0,2.17390e+05
0.7500,0.57143,-1.00000,4.600e-06,0.0,2.17390e+05
0.8000,0.55556,-1.00000,4.600e-06,0.0,2.17390e+05
0.8500,0.54054,-1.00000,4.600e-06,0.0,2.17390e+05
0.9000,0.52632,-1.00000,4.600e-06,0.0,2.17390e+05
0.9500,0.51282,-1.00000,4.600e-06,0.0,2.17390e+05
1.0000,0.50000,-1.00000,4.600e-06,0.0,2.17390e+05
1.0500,0.48780,-1.00000,4.600e-06,0.0,2.17390e+05
1.1000,0.47619,-1.00000,4.600e-06,0.0,2.17390e+05
1.1500,0.46512,-1.00000,4.600e-06,0.0,2.17390e+05
1.2000,0.45455,-1.00000,4.600e-06,0.0,2.17390e+05
1.2500,0.44444,-1.00000,4.600e-06,0.0,2.17390e+05
1.3000,0.43478,-0.99999,4.600e-06,0.0,2.17390e+05
1.3500,0.42553,-0.99997,4.600e-06,0.0,2.17390e+05
1.4000,0.41667,-0.99993,4.600e-06,0.0,2.17390e+05
1.4500,0.40816,-0.99982,4.600e-06,0.0,2.17390e+05
1.5000,0.40000,-0.99959,4.600e-06,0.0,2.17390e+05
1.5500,0.39216,-0.99908,4.600e-06,0.0,2.17390e+05
1.6000,0.38462,-0.99795,4.600e-06,0.0,2.17390e+05
1.6500,0.37736,-0.99556,4.600e-06,0.0,2.17390e+05
1.7000,0.37037,-0.99052,4.600e-06,0.0,2.17390e+05
1.7500,0.36364,-0.98032,4.600e-06,0.0,2.17390e+05
1.8000,0.35714,-0.96043,4.600e-06,0.0,2.17390e+05
1.8500,0.35088,-0.92363,4.600e-06,0.0,2.17390e+05
1.9000,0.34483,-0.86123,4.600e-06,0.0,2.17390e+05
1.9500,0.33898,-0.76765,4.600e-06,0.0,2.17390e+05
2.0000,0.33333,-0.64738,4.600e-06,0.0,2.17390e+05
2.0500,0.32787,-0.51680,4.600e-06,0.0,2.17390e+05
2.1000,0.32258,-0.39479,4.600e-06,0.0,2.17390e+05
2.1500,0.31746,-0.29282,4.600e-06,0.0,2.17390e+05
2.2000,0.31250,-0.21392,4.600e-06,0.0,2.17390e+05
2.2500,0.30769,-0.15515,4.600e-06,0.0,2.17390e+05
2.3000,0.30303,-0.11257,4.600e-06,0.0,2.17390e+05
2.3500,0.29851,-0.08187,4.600e-06,0.0,2.17390e+05
2.4000,0.29412,-0.05987,4.600e-06,0.0,2.17390e+05
2.4500,0.28986,-0.04408,4.600e-06,0.0,2.17390e+05
2.5000,0.28571,-0.03269,4.600e-06,0.0,2.17390e+05
2.5500,0.28169,-0.02442,4.600e-06,0.0,2.17390e+05
2.6000,0.27778,-0.01839,4.600e-06,0.0,2.17390e+05
2.6500,0.27397,-0.01396,4.600e-06,0.0,2.17390e+05
2.7000,0.27027,-0.01068,4.600e-06,0.0,2.17390e+05
2.7500,0.26667,-0.00823,4.600e-06,0.0,2.17390e+05
2.8000,0.26316,-0.00640,4.600e-06,0.0,2.17390e+05
2.8500,0.25974,-0.00501,4.600e-06,0.0,2.17390e+05
2.9000,0.25641,-0.00396,4.600e-06,0.0,2.17390e+05
2.9500,0.25316,-0.00315,4.600e-06,0.0,2.17390e+05
3.0000,0.25000,-0.00253,4.600e-06,0.0,2.17390e+05
3.0500,0.24691,-0.00204,4.600e-06,0.0,2.17390e+05
3.1000,0.24390,-0.00166,4.600e-06,0.0,2.17390e+05
3.1500,0.24096,-0.00137,4.600e-06,0.0,2.17390e+05
3.2000,0.23810,-0.00113,4.600e-06,0.0,2.17390e+05
3.2500,0.23529,-0.00094,4.600e-06,0.0,2.17390e+05
3.3000,0.23256,-0.00079,4.600e-06,0.0,2.17390e+05
3.3500,0.22989,-0.00067,4.600e-06,0.0,2.17390e+05
3.4000,0.22727,-0.00057,4.600e-06,0.0,2.17390e+05
3.4500,0.22472,-0.00049,4.600e-06,0.0,2.17390e+05
3.5000,0.22222,-0.00042,4.600e-06,0.0,2.17390e+05
3.5500,0.21978,-0.00037,4.600e-06,0.0,2.17390e+05
3.6000,0.21739,-0.00032,4.600e-06,0.0,2.17390e+05
3.6500,0.21505,-0.00028,4.600e-06,0.0,2.17390e+05
3.7000,0.21277,-0.00025,4.600e-06,0.0,2.17390e+05
3.7500,0.21053,-0.00023,4.600e-06,0.0,2.17390e+05
3.8000,0.20833,-0.00020,4.600e-06,0.0,2.17390e+05
3.8500,0.20619,-0.00019,4.600e-06,0.0,2.17390e+05
3.9000,0.20408,-0.00017,4.600e-06,0.0,2.17390e+05
3.9500,0.20202,-0.00016,4.600e-06,0.0,2.17390e+05
4.0000,0.20000,-0.00014,4.600e-06,0.0,2.17390e+05
4.0500,0.19802,-0.00014,4.600e-06,0.0,2.17390e+05
4.1000,0.19608,-0.00013,4.600e-06,0.0,2.17390e+05
