# Table 1: g_ISW(z) at k=0.015 Mpc^-1 (>0 = decaying potential)
z,g_ISW_LCDM,g_ISW_QFUDS
4.9744,0.005982,0.001235
4.9059,0.006143,0.001227
4.8382,0.006310,0.001219
4.7712,0.006484,0.001212
4.7051,0.006664,0.001204
4.6396,0.006851,0.001197
4.5750,0.007044,0.001190
4.5111,0.007245,0.001183
4.4479,0.007454,0.001176
4.3854,0.007670,0.001170
4.3237,0.007893,0.001163
4.2626,0.008125,0.001157
4.2023,0.008366,0.001151
4.1426,0.008615,0.001145
4.0837,0.008873,0.001139
4.0254,0.009140,0.001133
3.9678,0.009417,0.001128
3.9108,0.009704,0.001122
3.8545,0.010001,0.001117
3.7988,0.010308,0.001112
3.7438,0.010627,0.001107
3.6894,0.010956,0.001103
3.6356,0.011297,0.001098
3.5825,0.011650,0.001094
3.5300,0.012016,0.001090
3.4780,0.012394,0.001086
3.4267,0.012785,0.001082
3.3759,0.013190,0.001079
3.3257,0.013608,0.001075
3.2761,0.014041,0.001072
3.2271,0.014489,0.001069
3.1786,0.014953,0.001067
3.1307,0.015431,0.001065
3.0834,0.015927,0.001063
3.0365,0.016439,0.001062
2.9903,0.016968,0.001061
2.9445,0.017515,0.001062
2.8993,0.018080,0.001062
2.8546,0.018665,0.001064
2.8104,0.019269,0.001067
2.7667,0.019892,0.001071
2.7235,0.020537,0.001077
2.6808,0.021203,0.001086
2.6386,0.021890,0.001097
2.5969,0.022600,0.001111
2.5556,0.023334,0.001130
2.5149,0.024091,0.001155
2.4746,0.024872,0.001187
2.4347,0.025679,0.001228
2.3954,0.026512,0.001281
2.3564,0.027372,0.001350
2.3179,0.028258,0.001438
2.2799,0.029173,0.001551
2.2423,0.030117,0.001696
2.2051,0.031091,0.001881
2.1684,0.032095,0.002118
2.1320,0.033130,0.002417
2.0961,0.034197,0.002791
2.0606,0.035297,0.003254
2.0255,0.036431,0.003814
1.9908,0.037599,0.004476
1.9565,0.038803,0.005238
1.9226,0.040043,0.006093
1.8891,0.041321,0.007027
1.8560,0.042636,0.008026
1.8233,0.043990,0.009075
1.7909,0.045384,0.010165
1.7589,0.046819,0.011285
1.7273,0.048295,0.012431
1.6960,0.049813,0.013598
1.6651,0.051375,0.014784
1.6345,0.052981,0.015987
1.6043,0.054633,0.017207
1.5745,0.056330,0.018443
1.5449,0.058074,0.019697
1.5158,0.059866,0.020968
1.4869,0.061706,0.022256
1.4584,0.063595,0.023563
1.4302,0.065535,0.024889
1.4023,0.067526,0.026234
1.3748,0.069569,0.027600
1.3476,0.071664,0.028987
1.3206,0.073812,0.030395
1.2940,0.076014,0.031826
1.2677,0.078271,0.033280
1.2417,0.080583,0.034757
1.2160,0.082951,0.036258
1.1906,0.085375,0.037784
1.1655,0.087856,0.039335
1.1407,0.090394,0.040911
1.1161,0.092990,0.042514
1.0919,0.095644,0.044144
1.0679,0.098356,0.045801
1.0442,0.101127,0.047485
1.0207,0.103957,0.049197
0.9976,0.106845,0.050937
0.9747,0.109792,0.052706
0.9520,0.112798,0.054503
0.9296,0.115862,0.056329
0.9075,0.118985,0.058184
0.8856,0.122165,0.060069
0.8640,0.125404,0.061982
0.8426,0.128699,0.063925
0.8215,0.132051,0.065896
0.8006,0.135459,0.067897
0.7800,0.138922,0.069926
0.7596,0.142439,0.071985
0.7394,0.146009,0.074071
0.7195,0.149632,0.076186
0.6997,0.153305,0.078329
0.6803,0.157027,0.080498
0.6610,0.160798,0.082695
0.6419,0.164616,0.084918
0.6231,0.168478,0.087166
0.6045,0.172383,0.089440
0.5861,0.176329,0.091737
0.5679,0.180315,0.094058
0.5499,0.184338,0.096402
0.5322,0.188395,0.098767
0.5146,0.192486,0.101153
0.4972,0.196606,0.103559
0.4801,0.200754,0.105983
0.4631,0.204926,0.108425
0.4463,0.209121,0.110883
0.4297,0.213336,0.113356
0.4134,0.217567,0.115843
0.3971,0.221811,0.118342
0.3811,0.226066,0.120853
0.3653,0.230328,0.123372
0.3496,0.234595,0.125900
0.3342,0.238862,0.128435
0.3189,0.243126,0.130974
0.3037,0.247385,0.133518
0.2888,0.251635,0.136063
0.2740,0.255872,0.138608
0.2594,0.260093,0.141152
0.2450,0.264295,0.143693
0.2307,0.268473,0.146230
0.2166,0.272626,0.148760
0.2026,0.276748,0.151282
0.1888,0.280837,0.153795
0.1752,0.284889,0.156296
0.1617,0.288900,0.158785
0.1484,0.292869,0.161258
0.1353,0.296790,0.163716
0.1222,0.300661,0.166155
0.1094,0.304479,0.168575
0.0966,0.308241,0.170974
0.0841,0.311943,0.173351
0.0716,0.315582,0.175703
0.0594,0.319157,0.178029
0.0472,0.322663,0.180329
0.0352,0.326098,0.182600
0.0233,0.329460,0.184841
0.0116,0.332745,0.187052
0.0000,0.334369,0.188149

# Table 2: crude Limber ISW auto-power C_ell (relative; primordial norm cancels)
ell,Cl_ISW_LCDM,Cl_ISW_QFUDS,Cl_ISW_lowsigma8,ratio_QFUDS_LCDM
2,6.797818e-07,2.378739e-07,5.828034e-07,0.3499
3,6.797818e-07,2.773641e-07,5.828034e-07,0.4080
4,6.797818e-07,3.089953e-07,5.828034e-07,0.4546
5,6.797818e-07,3.416110e-07,5.828034e-07,0.5025
6,6.797818e-07,3.705369e-07,5.828034e-07,0.5451
8,6.797818e-07,4.205659e-07,5.828034e-07,0.6187
10,6.797818e-07,4.481506e-07,5.828034e-07,0.6593
12,6.797818e-07,4.666810e-07,5.828034e-07,0.6865
15,6.797818e-07,4.908799e-07,5.828034e-07,0.7221
19,6.797818e-07,5.115172e-07,5.828034e-07,0.7525
23,6.797818e-07,5.201412e-07,5.828034e-07,0.7652
29,6.797818e-07,5.300578e-07,5.828034e-07,0.7797
37,6.797818e-07,5.389242e-07,5.828034e-07,0.7928
46,6.797818e-07,5.441670e-07,5.828034e-07,0.8005
57,6.797818e-07,5.484556e-07,5.828034e-07,0.8068
72,6.797818e-07,5.518749e-07,5.828034e-07,0.8118
90,6.797818e-07,5.542351e-07,5.828034e-07,0.8153
112,6.797818e-07,5.559060e-07,5.828034e-07,0.8178
141,6.797818e-07,5.571627e-07,5.828034e-07,0.8196
176,6.797818e-07,5.579863e-07,5.828034e-07,0.8208
220,6.797818e-07,5.585428e-07,5.828034e-07,0.8217

# Table 3: scalar summary
quantity,value
ISW_autopower_total_ratio_QFUDS_over_LCDM_lmax30,0.6790
uniform_lowsigma8_amplitude_ratio_flat,0.8573
ISW_galaxy_cross_LCDM_l10,3.755619e-07
ISW_galaxy_cross_QFUDS_l10,3.306773e-07
ISW_galaxy_cross_sign_LCDM,positive
ISW_galaxy_cross_sign_QFUDS,positive
ISW_galaxy_cross_ratio_QFUDS_LCDM,0.8805
g_ISW_z2_LCDM,0.037291
g_ISW_z2_QFUDS,0.004301
g_ISW_peak_z_LCDM,0.000
g_ISW_peak_z_QFUDS,0.000
