ell,Clpp_LCDM,Clpp_QFUDS_c2_2.92e-5,ratio_c2_2.92e-5,ratio_c2_4.6e-6
30,1.005563e-04,1.084055e-04,1.07806,1.10506
32,7.940162e-05,8.536079e-05,1.07505,1.10253
35,5.705110e-05,6.109415e-05,1.07087,1.09901
38,4.200771e-05,4.482305e-05,1.06702,1.09579
41,3.158420e-05,3.358849e-05,1.06346,1.09283
45,2.219972e-05,2.351148e-05,1.05909,1.08921
48,1.734904e-05,1.832153e-05,1.05605,1.08671
52,1.274726e-05,1.341376e-05,1.05229,1.08363
57,8.920694e-06,9.348468e-06,1.04795,1.08011
61,6.836538e-06,7.142437e-06,1.04474,1.07753
67,4.715012e-06,4.904995e-06,1.04029,1.07397
72,3.535873e-06,3.666223e-06,1.03687,1.07127
78,2.560024e-06,2.644596e-06,1.03304,1.06827
85,1.803654e-06,1.855779e-06,1.02890,1.06507
92,1.302277e-06,1.334917e-06,1.02506,1.06214
99,9.603046e-07,9.809332e-07,1.02148,1.05944
107,6.932841e-07,7.055213e-07,1.01765,1.05659
116,4.925025e-07,4.992138e-07,1.01363,1.05363
126,3.457823e-07,3.490514e-07,1.00945,1.05060
136,2.486089e-07,2.499879e-07,1.00555,1.04781
148,1.718950e-07,1.720934e-07,1.00115,1.04472
160,1.218956e-07,1.215341e-07,0.99703,1.04185
173,8.608520e-08,8.546826e-08,0.99283,1.03897
188,5.922183e-08,5.852745e-08,0.98828,1.03589
203,4.178080e-08,4.111153e-08,0.98398,1.03301
220,2.888363e-08,2.828833e-08,0.97939,1.02997
238,2.005710e-08,1.955171e-08,0.97480,1.02696
258,1.374344e-08,1.333100e-08,0.96999,1.02383
279,9.489578e-09,9.159509e-09,0.96522,1.02073
303,6.395299e-09,6.139924e-09,0.96007,1.01741
328,4.359948e-09,4.163773e-09,0.95501,1.01415
355,2.963281e-09,2.814635e-09,0.94984,1.01082
384,2.011865e-09,1.900390e-09,0.94459,1.00744
416,1.350282e-09,1.268080e-09,0.93912,1.00389
451,8.991854e-10,8.393699e-10,0.93348,1.00021
488,6.022128e-10,5.587617e-10,0.92785,0.99650
529,3.979492e-10,3.668945e-10,0.92196,0.99259
572,2.653402e-10,2.430899e-10,0.91614,0.98867
620,1.739929e-10,1.583378e-10,0.91002,0.98448
671,1.145521e-10,1.035443e-10,0.90391,0.98023
727,7.467764e-11,6.702977e-11,0.89759,0.97576
787,4.871455e-11,4.341596e-11,0.89123,0.97117
853,3.144454e-11,2.781822e-11,0.88468,0.96633
923,2.040429e-11,1.791831e-11,0.87816,0.96142
1000,1.310051e-11,1.141664e-11,0.87147,0.95625

# summary
quantity,value,note
chi_star_Mpc,13865.9,comoving dist to z*=1090
kernel_contribution_peak_z,0.833,full dC/dchi at ell=100 (broad)
kernel_frac_weight_z_lt_0.5,0.030,CMB lensing low-z weight
kernel_frac_weight_z_gt_1,0.909,CMB lensing high-z weight
band_ratio[QFUDS c²=2.92e-5 (S8→0.76 fit)],1.0079,-0.79% vs LCDM (+ = suppressed)
band_ratio[QFUDS c²=4.6e-6 (cp8/cp9 lineage)],1.0497,-4.97% vs LCDM (+ = suppressed)
band_ratio[sanity smooth c²=1],0.6769,+32.31% vs LCDM (+ = suppressed)
band_ratio[sanity clustering c²=1e-10],1.0731,-7.31% vs LCDM (+ = suppressed)
WL_S8_amp_suppression_pct,8.43,weak lensing wants 0.83->0.76 at z~0
CMBlensing_band_amp_shift_pct,-0.79,headline c^2=2.92e-5 over ACT band (+ = below LCDM)
ACT_amp_precision_pct,2.3,"representative, sourced https://arxiv.org/abs/2304.05202, NOT a likelihood/no covariance"
ACT_S8_CMBL,0.818,"0.818+/-0.022, LCDM-consistent"
n_sigma_vs_ACT,0.34,|CMBL shift| / ACT precision
highz_growth_agreement_pct,2.621,QFUDS vs LCDM at z=8 (clean-ratio check)
verdict,see_stdout,"NO sharp CMB-lensing tension: the C_ℓ^φφ amplitude sits 0.79% above ΛCDM (0.3σ), INSIDE th"
