"# CP20 050 ceiling derivation attempt — parametrize, not derive"
target,quantity,value,note
1,xi_data_Mpc,9.540,from c_s²=4.6e-6
1,micro_gap_orders_vs_Planck,58.26,log10(xi_data/xi_foam) — too small
1,micro_gap_orders_vs_nuclear,38.47,log10(xi_data/xi_foam) — too small
1,micro_gap_orders_vs_atomic,33.47,log10(xi_data/xi_foam) — too small
1,micro_gap_orders_vs_Solar-system,12.29,log10(xi_data/xi_foam) — too small
1,micro_gap_orders_vs_galaxy,3.98,log10(xi_data/xi_foam) — too small
1,causal_horizon_z2_Mpc,4400,comoving Hubble radius @z~2 (Kibble) — too big
1,macro_overshoot_factor,461,causal/data — 10 Mpc natural to neither horn
1,nonlinear_scale_R8_Mpc,11.87,"data scale = σ8 scale (standard physics -> fitted, no new info)"
2,N_X_fit,2.1739e+05,= 1/c_s²-1; function of xi alone
2,spec_items_independent,1,ξ and N_X collapse to one
3,z_eq_matter_Lambda,0.296,analytic
3,rho_m_over_L_at_z2,12.42,
3,rho_m_over_L_at_z5,99.34,
3,window_orders,3.00,of ~120 Planck->rho_L
--,xi_Mpc,N_X,
curve,0.01,1.9784e+11,
curve,0.02387,3.4731e+10,
curve,0.05696,6.0969e+09,
curve,0.136,1.0703e+09,
curve,0.3245,1.8789e+08,
curve,0.7745,3.2983e+07,
curve,1.849,5.7900e+06,
curve,4.412,1.0164e+06,
curve,10.53,1.7843e+05,
curve,25.13,3.1322e+04,
curve,59.98,5.4976e+03,
curve,143.2,9.6427e+02,
curve,341.7,1.6845e+02,
curve,815.5,2.8746e+01,
curve,1946,4.2219e+00,
