"# CP22 coincidence tracker brute-force — parametrize, not derive; hit != derivation; 050+observer untouched; CLASS BLOCKED"
"# Ratra-Peebles V=A*phi^-alpha, alpha=1.00, M_pl=1, rho_c0=1"
# calibration,A_cal=6.4132e-01,OmegaDE0=0.6849,w0=-0.7592,Meff_cal_meV=2.274

"## SECTION 1: IC attractor scan (fixed A, vary phi_i)"
phi_i_Mpl,Omega_DE0,w0,in_basin
1.000000e-16,0.68491,-0.7592,1
2.154435e-16,0.68491,-0.7592,1
4.641589e-16,0.68491,-0.7592,1
1.000000e-15,0.68491,-0.7592,1
2.154435e-15,0.68491,-0.7592,1
4.641589e-15,0.68491,-0.7592,1
1.000000e-14,0.68491,-0.7592,1
2.154435e-14,0.68491,-0.7592,1
4.641589e-14,0.68491,-0.7592,1
1.000000e-13,0.68491,-0.7592,1
2.154435e-13,0.68491,-0.7592,1
4.641589e-13,0.68491,-0.7592,1
1.000000e-12,0.68491,-0.7592,1
2.154435e-12,0.68491,-0.7592,1
4.641589e-12,0.68491,-0.7592,1
1.000000e-11,0.68491,-0.7592,1
2.154435e-11,0.68491,-0.7592,1
4.641589e-11,0.68491,-0.7592,1
1.000000e-10,0.68491,-0.7592,1
2.154435e-10,0.68491,-0.7592,1
4.641589e-10,0.68491,-0.7592,1
1.000000e-09,0.68491,-0.7592,1
2.154435e-09,0.68491,-0.7592,1
4.641589e-09,0.68491,-0.7592,1
1.000000e-08,0.68491,-0.7592,1
2.154435e-08,0.68491,-0.7592,1
4.641589e-08,0.68491,-0.7592,1
1.000000e-07,0.68491,-0.7592,1
2.154435e-07,0.68491,-0.7592,1
4.641589e-07,0.68491,-0.7592,1
1.000000e-06,0.68491,-0.7592,1
2.154435e-06,0.68491,-0.7592,1
4.641589e-06,0.68491,-0.7592,1
1.000000e-05,0.68491,-0.7592,1
2.154435e-05,0.68491,-0.7592,1
4.641589e-05,0.68491,-0.7592,1
1.000000e-04,0.68491,-0.7592,1
2.154435e-04,0.68491,-0.7592,1
4.641589e-04,0.68491,-0.7592,1
1.000000e-03,0.68491,-0.7592,1
2.154435e-03,0.68491,-0.7592,1
4.641589e-03,0.68491,-0.7592,1
1.000000e-02,0.68493,-0.7591,1
2.154435e-02,0.68495,-0.7592,1
4.641589e-02,0.68470,-0.7599,1
1.000000e-01,0.68441,-0.7586,1
2.154435e-01,0.68813,-0.7490,1
4.641589e-01,0.69069,-0.7722,1
1.000000e+00,0.63297,-0.8998,0
2.154435e+00,0.47995,-0.9814,0
4.641589e+00,0.30427,-0.9976,0
1.000000e+01,0.16908,-0.9997,0
2.154435e+01,0.08632,-1.0000,0
4.641589e+01,0.04201,-1.0000,0
1.000000e+02,0.01995,-1.0000,0
2.154435e+02,0.00936,-1.0000,0
4.641589e+02,0.00437,-1.0000,0
1.000000e+03,0.00203,-1.0000,0

## SECTION 2: why-now scan (vary energy scale M_eff)
M_eff_meV,z_acc,status
2.274303e-02,nan,future
2.626325e-02,nan,future
3.032832e-02,nan,future
3.502260e-02,nan,future
4.044347e-02,nan,future
4.670339e-02,nan,future
5.393223e-02,nan,future
6.227997e-02,nan,future
7.191979e-02,nan,future
8.305167e-02,nan,future
9.590658e-02,nan,future
1.107512e-01,nan,future
1.278935e-01,nan,future
1.476891e-01,nan,future
1.705487e-01,nan,future
1.969466e-01,nan,future
2.274303e-01,nan,future
2.626325e-01,nan,future
3.032832e-01,nan,future
3.502260e-01,nan,future
4.044347e-01,nan,future
4.670339e-01,nan,future
5.393223e-01,nan,future
6.227997e-01,nan,future
7.191979e-01,nan,future
8.305167e-01,nan,future
9.590658e-01,nan,future
1.107512e+00,nan,future
1.278935e+00,nan,future
1.476891e+00,nan,future
1.705487e+00,3.35855e-02,window
1.969466e+00,2.52152e-01,window
2.274303e+00,5.16921e-01,window
2.626325e+00,8.37648e-01,window
3.032832e+00,1.22616e+00,window
3.502260e+00,1.69674e+00,window
4.044347e+00,2.26673e+00,window
4.670339e+00,2.95708e+00,window
5.393223e+00,3.79315e+00,window
6.227997e+00,4.80563e+00,window
7.191979e+00,6.03161e+00,window
8.305167e+00,7.51598e+00,window
9.590658e+00,9.31290e+00,window
1.107512e+01,1.14879e+01,window
1.278935e+01,1.41199e+01,window
1.476891e+01,1.73043e+01,window
1.705487e+01,2.11560e+01,window
1.969466e+01,2.58130e+01,window
2.274303e+01,3.14416e+01,window
2.626325e+01,3.82411e+01,window
3.032832e+01,4.64505e+01,window
3.502260e+01,5.63553e+01,window
4.044347e+01,6.82962e+01,window
4.670339e+01,8.26782e+01,window
5.393223e+01,9.99813e+01,window
6.227997e+01,1.20773e+02,window
7.191979e+01,1.45720e+02,window
8.305167e+01,1.75605e+02,window
9.590658e+01,2.11340e+02,window
1.107512e+02,2.53985e+02,window
1.278935e+02,3.04763e+02,window
1.476891e+02,3.65088e+02,window
1.705487e+02,4.36577e+02,window
1.969466e+02,5.21083e+02,window
2.274303e+02,6.20725e+02,window

## LEDGER SUMMARY
quantity,value,note
IC_basin_decades_free,15.67,decades of phi_i landing on OmegaDE0=0.685+/-0.05 (REAL reduction)
IC_OmegaDE0_spread_in_basin,0.0063,flatness of the attractor basin
whynow_window_decades,0.312,"decades of M_eff giving z_acc in [0,2] (tuning that SURVIVES)"
whynow_scale_meV,2.274,the meV/rho_Lambda scale that must still be tuned
tuning_before,2,"{initial conditions, energy scale}"
tuning_after,1,{energy scale = meV / why-now}
net_reduction,2->1,GENUINE but PARTIAL; coincidence NOT solved
derivation_status,brute-force hit != derivation,050 untouched; observer mode untouched; real check CLASS Level3 BLOCKED
