z_star,omega_m0,c_eff2,S8,chi2_fsigma8,chi2_S8,chi2_total,dmu_gate_mag
2.0,0.29,1.000000e-07,0.9711,104.990,111.360,1000216.350,0.1240
2.0,0.29,2.154435e-07,0.9453,81.858,85.849,1000167.707,0.1240
2.0,0.29,4.641589e-07,0.8995,49.659,48.679,1000098.338,0.1240
2.0,0.29,1.000000e-06,0.8286,20.157,11.782,1000031.939,0.1240
2.0,0.29,2.154435e-06,0.7360,13.030,1.445,1000014.475,0.1240
2.0,0.29,4.641589e-06,0.6331,37.432,40.249,1000077.681,0.1240
2.0,0.29,1.000000e-05,0.5328,85.072,129.005,1000214.078,0.1240
2.0,0.29,2.154435e-05,0.4434,142.229,250.625,1000392.854,0.1240
2.0,0.29,4.641589e-05,0.3682,198.982,383.808,1000582.790,0.1240
2.0,0.29,1.000000e-04,0.3078,249.866,511.204,1000761.070,0.1240
2.0,0.29,2.154435e-04,0.2616,292.012,621.043,1000913.054,0.1240
2.0,0.29,4.641589e-04,0.2284,324.032,706.514,1001030.547,0.1240
2.0,0.29,1.000000e-03,0.2065,345.926,765.768,1001111.694,0.1240
2.0,0.29,2.154435e-03,0.1936,359.249,802.105,1001161.354,0.1240
2.0,0.29,4.641589e-03,0.1866,366.552,822.105,1001188.657,0.1240
2.0,0.29,1.000000e-02,0.1830,370.266,832.298,1001202.564,0.1240
2.0,0.31,1.000000e-07,1.0100,110.571,156.196,1000266.767,0.1491
2.0,0.31,2.154435e-07,0.9852,88.223,126.780,1000215.003,0.1491
2.0,0.31,4.641589e-07,0.9409,56.220,81.850,1000138.069,0.1491
2.0,0.31,1.000000e-06,0.8719,24.691,31.283,1000055.974,0.1491
2.0,0.31,2.154435e-06,0.7806,12.229,1.063,1000013.292,0.1491
2.0,0.31,4.641589e-06,0.6782,29.190,16.724,1000045.914,0.1491
2.0,0.31,1.000000e-05,0.5771,69.619,83.602,1000153.221,0.1491
2.0,0.31,2.154435e-05,0.4858,121.256,187.928,1000309.184,0.1491
2.0,0.31,4.641589e-05,0.4081,174.490,309.569,1000484.059,0.1491
2.0,0.31,1.000000e-04,0.3449,223.574,430.727,1000654.301,0.1491
2.0,0.31,2.154435e-04,0.2960,265.164,538.348,1000803.512,0.1491
2.0,0.31,4.641589e-04,0.2604,297.364,624.056,1000921.420,0.1491
2.0,0.31,1.000000e-03,0.2367,319.716,684.542,1001004.258,0.1491
2.0,0.31,2.154435e-03,0.2226,333.472,722.114,1001055.586,0.1491
2.0,0.31,4.641589e-03,0.2149,341.069,742.965,1001084.035,0.1491
2.0,0.31,1.000000e-02,0.2109,344.949,753.642,1001098.591,0.1491
2.0,0.33,1.000000e-07,1.0479,116.045,207.187,1000323.232,0.1736
2.0,0.33,2.154435e-07,1.0241,94.513,174.377,1000268.890,0.1736
2.0,0.33,4.641589e-07,0.9814,62.897,122.560,1000185.458,0.1736
2.0,0.33,1.000000e-06,0.9143,29.839,59.506,1000089.345,0.1736
2.0,0.33,2.154435e-06,0.8248,12.767,10.482,1000023.249,0.1736
2.0,0.33,4.641589e-06,0.7232,22.897,3.392,1000026.289,0.1736
2.0,0.33,1.000000e-05,0.6217,56.353,47.788,1000104.141,0.1736
2.0,0.33,2.154435e-05,0.5291,102.331,133.344,1000235.675,0.1736
2.0,0.33,4.641589e-05,0.4492,151.663,241.466,1000393.129,0.1736
2.0,0.33,1.000000e-04,0.3835,198.466,354.306,1000552.772,0.1736
2.0,0.33,2.154435e-04,0.3321,239.032,457.848,1000696.880,0.1736
2.0,0.33,4.641589e-04,0.2942,271.030,542.345,1000813.374,0.1736
