# d_H_Mpc,4447.959,c_eff2_fit,4.6e-06,xi_fit_Mpc,9.540
xi_Mpc,c_eff2,S8
0.001,5.05450e-14,0.9562
0.0014807,1.10818e-13,0.9562
0.0021925,2.42963e-13,0.9562
0.0032464,5.32687e-13,0.9562
0.0048069,1.16789e-12,0.9562
0.0071175,2.56056e-12,0.9562
0.010539,5.61392e-12,0.9562
0.015605,1.23083e-11,0.9562
0.023106,2.69854e-11,0.9562
0.034213,5.91644e-11,0.9562
0.050659,1.29715e-10,0.9562
0.075011,2.84396e-10,0.9562
0.11107,6.23526e-10,0.9561
0.16446,1.36705e-09,0.9560
0.24351,2.99721e-09,0.9558
0.36057,6.57125e-09,0.9554
0.53389,1.44072e-08,0.9544
0.79053,3.15872e-08,0.9523
1.1705,6.92536e-08,0.9480
1.7332,1.51836e-07,0.9393
2.5663,3.32893e-07,0.9236
3.8,7.29854e-07,0.8991
5.6266,1.60018e-06,0.8679
8.3313,3.50832e-06,0.8352
12.336,7.69184e-06,0.8046
18.266,1.68640e-05,0.7771
27.046,3.69737e-05,0.7526
40.047,8.10633e-05,0.7310
59.298,1.77728e-04,0.7129
87.802,3.89661e-04,0.6988
130.01,8.54315e-04,0.6890
192.5,1.87305e-03,0.6831
285.04,4.10658e-03,0.6799
422.05,9.00351e-03,0.6784
624.93,1.97398e-02,0.6776
925.33,4.32787e-02,0.6772
1370.1,9.48869e-02,0.6771
2028.8,2.08035e-01,0.6770
3004,4.56109e-01,0.6770
4448,1.00000e+00,0.6770
