Model,bbh1,bbh1_upper,bbh1_lower,bbh2,bbh2_upper, bbh2_lower,bbh3,bbh3_upper,bbh3_lower,bbh,bbh_upper,bbh_lower
,"$m_{1} \in [5, 20] M_{\odot}$",,,"$m_{1} \in [20, 50] M_{\odot}$",,,"$m_{1} \in [50, 100] M_{\odot}$",,,All,,
,"$m_{2} \in [5, 20] M_{\odot}$",,,"$m_{2} \in [5, 50] M_{\odot}$",,,"$m_{2} \in [5, 100] M_{\odot}$",,,All,,
PDB (pair),17,10,6.0,6.8,2.2,1.7,0.68,0.42,0.29,25,10,7.0
PDB (ind),9.4,5.6,3.7,11,3.0,2.0,1.6,0.9,0.7,22,8.0,6.0
MS,30,23,13,6.6,2.9,2.3,0.73,0.87,0.52,37,24,13
BGP,20.0,11.0,8.0,6.3,3.0,2.2,0.75,1.1,0.46,33.0,16.0,10.0
PS,27,12,8.8,3.5,1.5,1.1,0.19,0.16,0.09,31,13,9.2
FM,21.1,11.6,7.8,4.3,2.0,1.4,0.2,0.2,0.1,26.5,11.7,8.6
PP,23.6,13.7,9.0,4.5,1.7,1.3,0.2,0.1,0.1,28.3,13.9,9.1
merged,,39,13.3,,6.3,2.5,,0.4,0.099,,44,17.9
PP_old,16.0,13.0,7.7,6.8,2.7,1.9,0.5,0.4,0.3,25.3,16.1,9.9
