row_id,curve_id,curve_color,quantity,value,value_unit,z,a,ln_a,x_axis_source,y_axis_side,band_role,pixel_x,pixel_y,source_image,source_location,extraction_method,quality_state,qfuds_role,provenance_note,limitations
chen_fig5_blue_entropy_central_001,chen_fig5_blue_entropy_central,blue,S_BH(a),3.99968739e+83,k,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,left,central,285,1455,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue central curve,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing
chen_fig5_red_entropy_density_central_001,chen_fig5_red_entropy_density_central,red,entropy_density(a),1.71967919e+11,k m^-3,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,right,central,285,598,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 red central curve,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing
chen_fig5_blue_entropy_upper_001,chen_fig5_blue_entropy_upper,blue,S_BH(a),5.65630164e+83,k,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,left,upper_uncertainty,285,1429,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue upper uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
chen_fig5_blue_entropy_lower_001,chen_fig5_blue_entropy_lower,blue,S_BH(a),3.27487983e+83,k,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,left,lower_uncertainty,285,1470,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue lower uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
chen_fig5_red_entropy_density_upper_001,chen_fig5_red_entropy_density_upper,red,entropy_density(a),2.22599350e+11,k m^-3,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,right,upper_uncertainty,285,577,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 red upper uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
chen_fig5_red_entropy_density_lower_001,chen_fig5_red_entropy_density_lower,red,entropy_density(a),1.55288087e+11,k m^-3,0.01031319,0.98979209,-0.01026037,Figure 5 bottom redshift axis,right,lower_uncertainty,285,607,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 red lower uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
chen_fig5_blue_entropy_central_002,chen_fig5_blue_entropy_central,blue,S_BH(a),4.95045870e+83,k,0.01146536,0.98866461,-0.01140013,Figure 5 bottom redshift axis,left,central,306,1439,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue central curve,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing
chen_fig5_red_entropy_density_central_002,chen_fig5_red_entropy_density_central,red,entropy_density(a),1.73003092e+11,k m^-3,0.01146536,0.98866461,-0.01140013,Figure 5 bottom redshift axis,right,central,306,598,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 red central curve,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing
chen_fig5_blue_entropy_upper_002,chen_fig5_blue_entropy_upper,blue,S_BH(a),7.09480830e+83,k,0.01146536,0.98866461,-0.01140013,Figure 5 bottom redshift axis,left,upper_uncertainty,306,1412,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue upper uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
chen_fig5_blue_entropy_lower_002,chen_fig5_blue_entropy_lower,blue,S_BH(a),3.99968739e+83,k,0.01146536,0.98866461,-0.01140013,Figure 5 bottom redshift axis,left,lower_uncertainty,306,1455,docs/wiki/research/assets/chen_2026_merger_entropy_budget/figures/extracted/growth_entropy_gwtc4_only.png,Figure 5 blue lower uncertainty band,color-segmented PNG digitization with manual axis calibration,numeric_digitized,source-history candidate,Calibrated from visible Figure 5 plot frame and axis ticks: x log10(z) uses x=279 at z=0.01 and 448 px/decade; blue left axis uses y=177 at 1e91 k and y=1559 at 1e83 k; red right axis uses y=260 at 1e13 k m^-3 and y=1411 at 1e7 k m^-3.,"numeric_digitized from PNG; covariance missing; source-code reproduction route missing; entropy-to-energy conversion law missing; QFUDS normalization route missing; candidate X boundary missing; uncertainty boundary is visual band edge, not posterior covariance"
