label,n_s,t0,tau,h0,omega_m,omega_b_h2,omega_c_h2,sigma8,reference,reference_url
GC NGC7652 age 1996,,x,,,,,,,Renzini et al.(1996),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Renzini
COBE/DMR 1yr 1996,x,,,,,,,,Bennett et al. (1996),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Bennett
CNOC galaxy survey 1998,,,,,x,,,,Carlberg et al. (1998),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Carlberg
IRAS Galaxy velocity fields 1998,,,,,,,,x,Willick and Strauss (1998),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Willick and Strauss
SNIa 1999,,x,,,,,,,Perlmutter et al. (1999),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Perlmutter
HST_Key_Project 2001,,,,x,,,,,Freedman et al. (2001),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Freedman
D/H+BBN 2001,,,,,,x,,,Pettini and Bowen (2001),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Pettini and Bowen
White dwarf dating 2002,,x,,,,,,,Hansen et al. (2002); Richer et al. (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Richer
Galaxy bias + z distort 2002,,,,,x,,,,Verde et al. (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Verde
Clusters+SNIa 2002,,,,,,x,,,Steigman et al. (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Steigman
Boomerang 2002a,x,x,x,,,x,x,,Netterfield et al. (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Netterfield
DASI+DMR 2002,x,,,,,x,x,,Pryke et al. (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Pryke
CBI SZ 2002,,,,,,,,x,Komatsu and Seljak (2002),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Komatsu and Seljak
CBI+DMR 2003,,,,,,x,,,Sievers et al. (2003),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Sievers
D/H+BBN 2003,,,,,,x,,,Kirkman et al. (2003),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Kirkman
X-ray cluster abunduance 2003,,,,,,,,x,Bahcall and Bode (2003),https://lambda.gsfc.nasa.gov/resources/graphic_history/more_ref.html#Bahcall and Bode
