a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.0974305808127658e-06,0.0,0.0,-2.2359027525205677e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.000000000023573e-05,-6.15595584502194e-14,9.549779157591787e-09,4.907349524677631e-13,-1.1036872474723707e-06,0.0,0.0,-2.229646085939539e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000948635e-05,-1.2424053899736578e-13,9.119828192140275e-09,9.734140937712891e-13,-1.1099669616859045e-06,0.0,0.0,-2.2233663719636404e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002147406e-05,-1.8806236166494795e-13,8.709234511600266e-09,1.448397199569712e-12,-1.1162696647319975e-06,0.0,0.0,-2.2170636693171373e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003840878e-05,-2.530447802761471e-13,8.317126610720039e-09,1.9160341745652833e-12,-1.1225952960969494e-06,0.0,0.0,-2.2107380385166765e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000006038048e-05,-3.1920785750413423e-13,7.9426722212277e-09,2.376665144455148e-12,-1.1289437934679932e-06,0.0,0.0,-2.204389541878023e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008748062e-05,-3.865719689032471e-13,7.585076545300943e-09,2.8306207679251205e-12,-1.1353150927267819e-06,0.0,0.0,-2.198018243522572e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011980225e-05,-4.551578069758586e-13,7.243580568569618e-09,3.278222538921568e-12,-1.1417091279431021e-06,0.0,0.0,-2.1916242093836394e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.0000000015744002e-05,-5.249863852750874e-13,6.9174594490696535e-09,3.719783079497619e-12,-1.1481258313688562e-06,0.0,0.0,-2.1852075072124774e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.0000000020049022e-05,-5.960790425429361e-13,6.6060209787307965e-09,4.1556064235171465e-12,-1.1545651334322568e-06,0.0,0.0,-2.1787682065840837e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000024905077e-05,-6.684574468843203e-13,6.308604114130177e-09,4.5859882914969676e-12,-1.1610269627322968e-06,0.0,0.0,-2.172306378902729e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000030322129e-05,-7.421435999764372e-13,6.02457757339556e-09,5.011216356852603e-12,-1.1675112460334495e-06,0.0,0.0,-2.16582209740726e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.000000003631031e-05,-8.171598413139377e-13,5.753338496277891e-09,5.431570503811075e-12,-1.1740179082606442e-06,0.0,0.0,-2.1593154371761255e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000042879922e-05,-8.935288524894477e-13,5.4943111645508615e-09,5.847323077240523e-12,-1.1805468724944849e-06,0.0,0.0,-2.152786475132156e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000050041447e-05,-9.71273661509531e-13,5.246945780020694e-09,6.258739124642065e-12,-1.1870980599667378e-06,0.0,0.0,-2.146235290047078e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.0000000057805542e-05,-1.0504176471462258e-12,5.010717297551914e-09,6.66607663054176e-12,-1.193671390056096e-06,0.0,0.0,-2.1396619625457517e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000066183046e-05,-1.1309845433236287e-12,4.7851243106335774e-09,7.06958674350979e-12,-1.2002667802841888e-06,0.0,0.0,-2.1330665751101595e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.0000000075184981e-05,-1.2129984435400085e-12,4.569687987118753e-09,7.469513996032188e-12,-1.206884146311899e-06,0.0,0.0,-2.1264492120830947e-06,0.0
