a,z,Gamma,H,rho_A,rho_B,Omega_A,Omega_B,w_dark,w_B_eff,D,f
0.00010000000000000009,9998.99999999999,6.970501574147713e-08,75101639.08426826,272292390608.69547,-12155.13309772933,0.21930900618755722,-9.789954665208976e-09,4.46400048608129e-08,-0.47950260406968337,0.00023746490281428557,1.0
0.00010077112648825889,9922.477436927458,7.047958750292788e-08,74030464.3157861,266089148875.06458,-12010.204488388621,0.22055962307211344,-9.955183013576228e-09,4.5136019568090443e-08,-0.4795022441166369,0.00023929085623768112,0.9943584680260518
0.00010154819933712645,9846.540444120863,7.126276641276304e-08,72974982.47130288,260027226579.32397,-11867.003799088325,0.22181485022637604,-1.012308482061054e-08,4.563754533238886e-08,-0.4795018798228706,0.00024112049742008716,0.9888207274219964
0.00010233126440056487,9771.184540646407,7.20546481148045e-08,71934959.40073381,254103404246.192,-11725.510428598871,0.22307467595144861,-1.0293700893085233e-08,4.6144643376394624e-08,-0.47950151113603046,0.00024295388690021529,0.9833833454174148
0.0001031203678861276,9696.405279859619,7.285532931568078e-08,70910164.48536763,248314535745.0165,-11585.704021310206,0.22433908819021584,-1.046707261169511e-08,4.6657375602713853e-08,-0.4795011380031301,0.0002447910848980037,0.978044365984508
0.00010391555635768725,9622.198249142839,7.366490779663832e-08,69900370.58431537,242657546618.86148,-11447.564464303152,0.2256080745259918,-1.0643241938237143e-08,4.717580460141935e-08,-0.47950076037054445,0.00024663215217997944,0.9728018871658466
0.00010471687673818289,9548.559069644887,7.44834824254824e-08,68905353.98177572,237129432451.67288,-11311.071884456001,0.22688162218121197,-1.082225142286664e-08,4.769999365768002e-08,-0.4795003781840007,0.0002484771500627898,0.9676540591850011
0.00010552437631238814,9475.483396022726,7.531115316865031e-08,67924894.33510198,231727257272.64288,-11176.206645585622,0.22815971801617166,-1.1004144211429896e-08,4.823000675947489e-08,-0.479499991388572,0.00025032614041674425,0.9625990826348007
0.00010633810272970286,9402.966916184929,7.614802110342101e-08,66958774.62365636,226448151996.9126,-11042.949345622315,0.22944234852781667,-1.118896405287443e-08,4.876590860539385e-08,-0.47949959992866853,0.00025217918566938053,0.9576352067394981
0.00010715810400696326,9331.00535103737,7.699418843025736e-08,66006781.09844509,221289312901.81662,-10911.280813818837,0.23072949984857732,-1.137675530673642e-08,4.9307764612522914e-08,-0.4794992037480298,0.0002540363488090441,0.9527607276873675
0.00010798442853127686,9259.594454230572,7.784975848528869e-08,65068703.232515626,216248000137.8215,-10781.182107992194,0.23202115774525747,-1.156756295070727e-08,4.985564092441899e-08,-0.47949880278971635,0.00025589769338848594,0.9479739870304165
0.00010881712506287623,9188.730011909287,7.871483575292885e-08,64144333.67211157,211321536273.40656,-10652.634511798817,0.2333173076179685,-1.1761432588278648e-08,5.040960441917095e-08,-0.47949839699610197,0.000257763283528482,0.9432733701480658
0.00010965624273799758,9118.407842463715,7.958952587863756e-08,63233468.188566625,206507304873.0769,-10525.619532041766,0.2346179344991195,-1.1958410456468e-08,5.096972271755186e-08,-0.47949798630886487,0.0002596331839214652,0.9386573047718556
0.00011050183107177965,9048.623796282807,8.047393568182139e-08,62335905.63093213,201802749107.78323,-10400.118896010345,0.2359230230524553,-1.2158543433624075e-08,5.153606419126043e-08,-0.47949757066898,0.0002615074598351823,0.9341242595683464
0.00011135393996118493,8979.373755509449,8.136817316887841e-08,61451447.87932455,197205370396.998,-10276.11454885142,0.23723255757214817,-1.2361879047313685e-08,5.210869797125363e-08,-0.4794971500167101,0.0002633861771163628,0.9296727427775743
0.00011221261968794542,8910.65363379736,8.227234754638945e-08,60579899.79898009,192712727081.7165,-10153.588650971804,0.23854652198194526,-1.256846548229077e-08,5.268769395617302e-08,-0.4794967242915966,0.0002652694021944127,0.9253013009045122
0.00011307792092152807,8842.459376070094,8.318656923445316e-08,59721069.19501075,188322433127.70508,-10032.523575472036,0.23986489983436463,-1.2778351588547294e-08,5.32731228208625e-08,-0.4794962934324519,0.0002671572020851233,0.9210085174611655
0.00011394989472212632,8774.786958281622,8.411094988017239e-08,58874766.7678448,184032156858.27463,-9912.901905610297,0.24118767430995242,-1.2991586889448241e-08,5.3865056024982414e-08,-0.4794958573773501,0.0002690496443943988,0.9167930117570205
0.00011482859254367144,8707.632387179015,8.504560237128716e-08,58040806.069347814,179839619715.93964,-9794.706432297022,0.2425148282165888,-1.3208221589949767e-08,5.446356582171715e-08,-0.479495416063618,0.00027094679732200794,0.9126534377356884
0.00011571406623687046,8640.991700066676,8.599064084996254e-08,57219003.459607266,175742595052.27286,-9677.920151618928,0.24384634398885616,-1.3428306584902858e-08,5.506872526658124e-08,-0.4794949694278262,0.00027284872966534845,0.9085884828557179
0.0001166063680522641,8574.860964572625,8.694618072672619e-08,56409178.06437728,171738906945.34433,-9562.526262393008,0.24518220368745802,-1.3651893467441613e-08,5.568060822632083e-08,-0.4794945174057802,0.0002747555108232379,0.9045968670136053
0.00011750555064331143,8509.236278416362,8.791233869456415e-08,55611151.73316709,167826429044.08676,-9448.508163749279,0.2465223889987009,-1.3879034537458455e-08,5.62992893879159e-08,-0.4794940599325108,0.00027666721079971815,0.9006773415071906
0.00011841166706949636,8444.113769178633,8.888923274317113e-08,54824748.99796847,164003083438.99756,-9335.849452742616,0.24786688123403017,-1.4109782810165704e-08,5.692484426768077e-08,-0.47949359694226423,0.0002785839002078863,0.8968286880376568
0.00011932477079945786,8379.48959407298,8.987698217335881e-08,54049797.03261034,160266839558.56757,-9224.533921993063,0.24921566132962483,-1.4344192024744798e-08,5.7557349220465477e-08,-0.47949312836849456,0.00028050565027373933,0.8930497177484941
0.00012024491571414658,8315.359939718865,9.087570761162699e-08,53286125.612729214,156615713090.8424,-9114.545557354011,0.2505687098460551,-1.4582316653084453e-08,5.8196881448960324e-08,-0.47949265414385167,0.00028243253284004547,0.8893392702998177
0.00012117215611000261,8251.721021916777,9.188553102489279e-08,52533567.07635078,153047764929.5651,-9005.868535608568,0.25192600696799444,-1.4824211908607146e-08,5.884351901310158e-08,-0.4794921742001733,0.00028436462037023246,0.8856962129765582
0.00012210654670216113,8188.569085424813,9.290657573538753e-08,51791956.285067454,149561100144.3137,-8898.487222192987,0.25328753250399777,-1.5069933755186455e-08,5.949734083958351e-08,-0.47949168846847523,0.00028630198595229635,0.8821194398290757
