a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.073162144463074e-06,0.0,0.0,-2.2601711888702595e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000231364e-05,-6.034398034074664e-14,9.549779157579828e-09,4.93267857616081e-13,-1.079318717463819e-06,0.0,0.0,-2.2540146159466357e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000928733e-05,-1.213313693144487e-13,9.119828192112245e-09,9.74682913360825e-13,-1.0854984082923813e-06,0.0,0.0,-2.2478349253505296e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002097107e-05,-1.8297695450881132e-13,8.709234511580716e-09,1.4446133498035892e-12,-1.0917011640456522e-06,0.0,0.0,-2.2416321699867167e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.00000000037416e-05,-2.4529575535076784e-13,8.31712661076083e-09,1.9034148640857414e-12,-1.0979269300586564e-06,0.0,0.0,-2.2354064045218766e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000005867439e-05,-3.0830299765173595e-13,7.942672221406745e-09,2.3514308007859212e-12,-1.1041756498971369e-06,0.0,0.0,-2.2291576853920097e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008479975e-05,-3.720141163774192e-13,7.585076545721016e-09,2.7889925028027242e-12,-1.1104472653503597e-06,0.0,0.0,-2.222886070809632e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011584672e-05,-4.3644475843858614e-13,7.243580569357245e-09,3.2164196507387288e-12,-1.1167417164241244e-06,0.0,0.0,-2.2165916207707667e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.000000001518712e-05,-5.016107855029066e-13,6.917459450374059e-09,3.634020591130525e-12,-1.1230589413340318e-06,0.0,0.0,-2.210274397061675e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.000000001929303e-05,-5.675282768273906e-13,6.606020980722926e-09,4.042092653855301e-12,-1.1293988764989516e-06,0.0,0.0,-2.203934463265392e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000023908234e-05,-6.342135321118065e-13,6.308604117001779e-09,4.440922459039777e-12,-1.135761456534755e-06,0.0,0.0,-2.19757188476799e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000029038696e-05,-7.016830743725062e-13,6.024577577358326e-09,4.8307862137811716e-12,-1.142146614248258e-06,0.0,0.0,-2.1911867287646404e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.0000000034690503e-05,-7.699536528370265e-13,5.753338501562653e-09,5.211949998986127e-12,-1.1485542806314337e-06,0.0,0.0,-2.184779064265401e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000040869874e-05,-8.390422458589847e-13,5.4943111714068405e-09,5.584670046618941e-12,-1.154984384855852e-06,0.0,0.0,-2.1783489621007727e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000047583159e-05,-9.089660638533089e-13,5.246945788714805e-09,5.949193007644599e-12,-1.1614368542673775e-06,0.0,0.0,-2.171896494927009e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.000000005483684e-05,-9.797425522518513e-13,5.010717308368116e-09,6.305756210943136e-12,-1.1679116143811272e-06,0.0,0.0,-2.1654217372311528e-06,0.0
0.00011307792092152807,8842.459376070094,0.0001,1.0000000062637535e-05,-1.0513893944788605e-12,4.785124323872266e-09,6.654587913460294e-12,-1.1744085888766702e-06,0.0,0.0,-2.1589247653358415e-06,0.0
0.00011394989472212632,8774.786958281622,0.0001,1.0000000070991999e-05,-1.123924514946689e-12,4.569688003096202e-09,6.995907541855975e-12,-1.180927699593508e-06,0.0,0.0,-2.152405657403825e-06,0.0
