a,z,k_h_Mpc,delta_A,theta_A,delta_B_or_substitute,theta_B,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00010000000000000009,9998.99999999999,0.0001,1e-05,0.0,1.000000000000001e-08,0.0,-1.1220910017030724e-06,0.0,0.0,-2.2112423316302616e-06,0.0
0.00010077112648825889,9922.477436927458,0.0001,1.0000000000238886e-05,-6.230351047811955e-14,9.549779157613567e-09,4.843497990561769e-13,-1.1284476088208513e-06,0.0,0.0,-2.204885724592111e-06,0.0
0.00010154819933712645,9846.540444120863,0.0001,1.0000000000958866e-05,-1.2526000896170206e-13,9.11982819224512e-09,9.56855976520347e-13,-1.134827171135368e-06,0.0,0.0,-2.1985061625175874e-06,0.0
0.00010233126440056487,9771.184540646407,0.0001,1.0000000002165012e-05,-1.8888443740620384e-13,8.709234511875126e-09,1.4178821650830242e-12,-1.1412296239682732e-06,0.0,0.0,-2.192103710086731e-06,0.0
0.0001031203678861276,9696.405279859619,0.0001,1.0000000003862515e-05,-2.5319196882083994e-13,8.317126611276348e-09,1.8677795598302274e-12,-1.1476549008205415e-06,0.0,0.0,-2.1856784338002967e-06,0.0
0.00010391555635768725,9622.198249142839,0.0001,1.0000000006056681e-05,-3.1819798010960045e-13,7.942672222200275e-09,2.3068870481303686e-12,-1.1541029333664583e-06,0.0,0.0,-2.1792304019857688e-06,0.0
0.00010471687673818289,9548.559069644887,0.0001,1.0000000008752936e-05,-3.8391805473849624e-13,7.585076546846953e-09,2.7355315587734357e-12,-1.1605736514478407e-06,0.0,0.0,-2.1727596848031376e-06,0.0
0.00010552437631238814,9475.483396022726,0.0001,1.0000000011956825e-05,-4.5036798542141097e-13,7.243580570867614e-09,3.1540283996531455e-12,-1.1670669830685038e-06,0.0,0.0,-2.1662663542504376e-06,0.0
0.00010633810272970286,9402.966916184929,0.0001,1.0000000015674015e-05,-5.175637768246155e-13,6.917459452318659e-09,3.5626815843359154e-12,-1.1735828543889992e-06,0.0,0.0,-2.1597504841690055e-06,0.0
0.00010715810400696326,9331.00535103737,0.0001,1.00000000199103e-05,-5.855216482894556e-13,6.606020983149462e-09,3.9617841478465145e-12,-1.180121189721586e-06,0.0,0.0,-2.1532121502485138e-06,0.0
0.00010798442853127686,9259.594454230572,0.0001,1.0000000024671594e-05,-6.542580365735769e-13,6.308604119955987e-09,4.351618451995387e-12,-1.1866819115254894e-06,0.0,0.0,-2.146651430031708e-06,0.0
0.00010881712506287623,9188.730011909287,0.0001,1.0000000029963944e-05,-7.237895986100744e-13,6.024577580884093e-09,4.732456480556663e-12,-1.1932649404023984e-06,0.0,0.0,-2.140068402918916e-06,0.0
0.00010965624273799758,9118.407842463715,0.0001,1.0000000035793521e-05,-7.941332142849313e-13,5.753338505702135e-09,5.104560124602089e-12,-1.1998701950922545e-06,0.0,0.0,-2.133463150172252e-06,0.0
0.00011050183107177965,9048.623796282807,0.0001,1.0000000042166629e-05,-8.653059892322251e-13,5.494311176200567e-09,5.468181458281562e-12,-1.2064975924692954e-06,0.0,0.0,-2.126835754919581e-06,0.0
0.00011135393996118493,8979.373755509449,0.0001,1.0000000049089704e-05,-9.373252576471184e-13,5.246945794201789e-09,5.8235630053350734e-12,-1.2131470475383794e-06,0.0,0.0,-2.1201863021581886e-06,0.0
0.00011221261968794542,8910.65363379736,0.0001,1.0000000056569316e-05,-1.0102085851166772e-12,5.010717314585947e-09,6.170937996612007e-12,-1.2198184734315986e-06,0.0,0.0,-2.1135148787581734e-06,0.0
