a,z,Gamma,H_km_s_Mpc,H_over_H_LCDM,rho_A_over_rhocrit0,rho_Bfoam_over_rhocrit0,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_Bfoam_eff,w_eff,D,f,f_sigma8_proxy,delta_w_dark_vs_LCDM,delta_f_sigma8_vs_LCDM
0.00010000000000000009,9998.99999999999,0.01,75620039.12485115,1.0099136289608672,290457055344.8523,-964973605.1101714,0.23074267749080551,-0.0007665869678624846,0.2699072072929503,0.00333333333095341,0.003333334047310288,0.24438638019283315,0.00022972114544348677,1.0,0.0001863038489546678,0.0033333333335423118,-9.523920348102847e-06
0.00010077112648825889,9922.477436927458,0.01,74543712.27633181,1.0099612506303302,283818191754.59674,-942917579.8933755,0.2320267132960936,-0.0007708528675319603,0.2714122110476347,0.00333333333089774,0.003333334064011151,0.243890400140831,0.00023148763883504652,0.9944533458967267,0.00018669516580530177,0.003333333333546996,-9.518412658768185e-06
0.00010154819933712645,9846.540444120863,0.01,73483125.85576472,1.0100089805203993,277331070079.22815,-921365680.6396592,0.23331522304677063,-0.0007751336308069244,0.2729224819565684,0.0033333333308407684,0.0033333340811028123,0.24339268418888638,0.00023325787006146418,0.98900941087778,0.0001870930194368486,0.003333333333551785,-9.512930882910265e-06
0.00010233126440056487,9771.184540646407,0.01,72438045.30229543,1.0100568175663518,270992222012.99805,-900306384.7385626,0.2346081926287818,-0.0007794292107968168,0.27443800368843874,0.0033333333307824643,0.003333334098593932,0.24289323771824956,0.00023503189962459272,0.9836647796663933,0.0001874972000263859,0.0033333333335566822,-9.507468078174056e-06
0.0001031203678861276,9696.405279859619,0.01,71408239.58989464,1.0101047606893445,264798258523.87527,-879728432.947457,0.23590560757015935,-0.0007837395594219969,0.27595875949254306,0.0033333333307227963,0.003333334116494502,0.2423920662483817,0.00023680978771995907,0.9784175232875539,0.00018790776409887436,0.0033333333335616886,-9.502025705959081e-06
0.00010391555635768725,9622.198249142839,0.01,70393481.17377752,1.0101528087964249,258745868041.6071,-859620823.3718151,0.2372074530400504,-0.0007880646274105147,0.277484732197628,0.0033333333306617323,0.003333334134813626,0.24188917543733804,0.00023859159508019318,0.9732657657708763,0.00018832476854018968,0.0033333333335668065,-9.496605244063586e-06
0.00010471687673818289,9548.559069644887,0.01,69393545.93763974,1.01020096078054,252831814687.2101,-839972805.5831208,0.23851371384779263,-0.0007924043642950398,0.2790159042107844,0.00333333333059924,0.003333334153561296,0.24138457108213193,0.00024037738297845882,0.9682076823045783,0.00018874827059898306,0.0033333333335720397,-9.491208186686566e-06
0.00010552437631238814,9475.483396022726,0.01,68408213.1416957,1.0102492155205536,247052936542.92847,-820773874.8712217,0.23982437444203847,-0.0007967587184099513,0.2805522575163996,0.003333333330535286,0.003333334172747282,0.2408782591190801,0.00024216721323189528,0.9632414974650444,0.00018917832788855674,0.003333333333577389,-9.48583604442818e-06
0.00010633810272970286,9402.966916184929,0.01,67437265.37150393,1.0102975718812608,241406143961.7214,-802013766.6280088,0.24113941890993515,-0.0008011276368886139,0.2820937736751739,0.0033333333304698368,0.0033333341923824644,0.24037024562412687,0.00024396114820508303,0.9583654835183706,0.00018961499838876088,0.003333333333582859,-9.480490344286873e-06
0.00010715810400696326,9331.00535103737,0.01,66480488.48757404,1.0103460287134085,235888417915.41037,-783682450.8595337,0.2424588309763506,-0.0008055110656608064,0.2836404338231919,0.0033333333304028556,0.003333334212476613,0.2398605368131504,0.00024575925081352367,0.953577958790513,0.0001900583404479076,0.003333333333588451,-9.475172629654657e-06
0.00010798442853127686,9259.594454230572,0.01,65537671.57573551,1.0103945848537152,230496808380.5609,-765770126.823489,0.2437825940031578,-0.0008099089494503437,0.28519221867106104,0.0033333333303343085,0.003333334233041052,0.23934913904224678,0.00024756158452713767,0.9488772861028202,0.00019050841278470313,0.0033333333335941683,-9.46988446031018e-06
0.00010881712506287623,9188.730011909287,0.01,64608606.89826478,1.010443239124897,225228432761.2782,-748267217.7893271,0.2451106909885662,-0.0008143212317728559,0.28674910850310587,0.0033333333302641576,0.0033333342540859956,0.23883605880799516,0.00024936821337378476,0.9442618712699011,0.00019096527449020078,0.0033333333336000135,-9.46462741241029e-06
0.00010965624273799758,9118.407842463715,0.01,63693089.84575145,1.0104919903356928,220080474348.03345,-731164365.9180821,0.24644310456651236,-0.0008187478549337637,0.28831108317663123,0.0033333333301923656,0.003333334275623656,0.23832130274770133,0.00025117920194279693,0.9397301616569725,0.00019142898502977145,0.003333333333605989,-9.459403078478952e-06
0.00011050183107177965,9048.623796282807,0.01,62790918.889698364,1.010540837280893,215050180811.72867,-714452427.2592622,0.24777981700610108,-0.0008231887600264218,0.2898781221212442,0.0033333333301188944,0.003333334297664914,0.23780487763962052,0.00025299461538853655,0.935280644793933,0.00019189960424509668,0.0033333333336120984,-9.45421306739269e-06
0.00011135393996118493,8979.373755509449,0.01,61901895.53584188,1.0105897787413722,210134862732.18167,-698122466.8620961,0.2491208102111022,-0.0008276438869304468,0.291450204338242,0.003333333330043704,0.003333334320221981,0.23728679040315992,0.0002548145194339671,0.9309118470436009,0.0001923771923561793,0.0033333333336183443,-9.449059004365654e-06
0.00011221261968794542,8910.65363379736,0.01,61025824.27817943,1.010638813484122,205331892160.23355,-682165753.998481,0.250466065719506,-0.0008321131743102405,0.2930273084000672,0.0033333333299667557,0.0033333343433066265,0.23676704809905794,0.00025663898037424875,0.9266223323216406,0.00019286180996337668,0.0033333333336247302,-9.44394253093146e-06
0.00011307792092152807,8842.459376070094,0.01,60162512.55369888,1.0106879402622888,200638701212.73846,-666573757.4951751,0.2518155647031293,-0.0008365965596136811,0.2946094124498232,0.0033333333298880075,0.0033333343669310622,0.23624565792954386,0.0002584680650803497,0.9224107008658738,0.00019335351804945368,0.003333333333631259,-9.438865304923051e-06
0.00011394989472212632,8774.786958281622,0.01,59311770.69779242,1.0107371578152118,196052780699.64938,-651338141.1726199,0.25316928796728483,-0.0008410939790710245,0.2961964942008632,0.003333333329807416,0.003333334391108389,0.2357226272384736,0.0002603018410026771,0.918275588052762,0.00019385237798165737,0.0033333333336379328,-9.433829000450225e-06
0.00011482859254367144,8707.632387179015,0.01,58473411.900351256,1.010786464868466,191571678782.50143,-636450759.3880754,0.2545272159505011,-0.0008456053676939744,0.2977885309364386,0.003333333329724941,0.0033333344158510414,0.2351979635114457,0.00026214037617473113,0.9142156632589561,0.00019435845151381413,0.0033333333336447567,-9.42883530787424e-06
0.00011571406623687046,8640.991700066676,0.01,57647252.162524186,1.0108358601339051,187192999663.54086,-621903652.6805651,0.25588932872430753,-0.0008501306592749672,0.29938549950942284,0.003333333329640536,0.003333334441172564,0.23467167437589237,0.00026398373921677354,0.9102296287659496,0.00019487180078844768,0.0033333333336517334,-9.423885933781408e-06
0.0001166063680522641,8574.860964572625,0.01,56833110.25413648,1.0108853423097104,182914402304.83243,-607689043.5154208,0.25725560599307057,-0.0008546697863866288,0.3009873763420963,0.003333333329554157,0.0033333344670862797,0.23414376760115002,0.0002658319993395231,0.9063162187059155,0.00019539248833892072,0.0033333333336588657,-9.418982600954131e-06
0.00011750555064331143,8509.236278416362,0.01,56030807.67175265,1.0109349100804386,178733599176.6286,-593799332.1260393,0.258626027093896,-0.0008592226803814491,0.3025941374260072,0.003333333329465757,0.003333334493606399,0.23361425109850625,0.0002676852263478639,0.9024741980469677,0.00019592057709159801,0.0033333333336661576,-9.41412704833831e-06
0.00011841166706949636,8444.113769178633,0.01,55240168.59737851,1.0109845621170757,174648355034.35687,-580227092.4507179,0.26000057099658563,-0.0008637892713916387,0.30420575832189717,0.0033333333293752896,0.003333334520746467,0.23308313292122307,0.00026954349064458195,0.8987023616161114,0.00019645613036803472,0.0033333333336736126,-9.409321031010387e-06
0.00011932477079945786,8379.48959407298,0.01,54461019.857790545,1.01103429707709,170656485723.56067,-566965068.1623584,0.2613792163036559,-0.00086836948832919,0.3058222141596985,0.0033333333292827057,0.0033333345485215826,0.23255042126453943,0.00027140686323411523,0.894999533158287,0.0001969992118871859,0.0033333333336812336,-9.404566320140705e-06
0.00012024491571414658,8315.359939718865,0.01,53693190.88448145,1.0110841136044926,166755857012.1459,-554006168.7888875,0.26276194125041874,-0.0008729632588861469,0.30744347963860474,0.003333333329187957,0.0033333345769461786,0.23201612446564665,0.00027327541572633147,0.8913645644299463,0.00019754988576764263,0.0033333333336890265,-9.399864702954851e-06
0.00012117215611000261,8251.721021916777,0.01,52936513.674216874,1.0111340103298943,162944383449.33246,-541343465.9223977,0.26414872370511944,-0.0008775705095350619,0.30906952902720786,0.003333333329090992,0.003333334606035576,0.23148025100364414,0.00027514922034032284,0.8877963343257097,0.00019810821652989038,0.003333333333696993,-9.39521798269384e-06
0.00012210654670216113,8188.569085424813,0.01,52190822.75018845,1.0111839858705716,159220027250.67148,-528970189.51488626,0.26553954116914236,-0.0008821911655296793,0.31070033616371445,0.003333333328991759,0.0033333346358057625,0.23094280949946805,0.0002770283499082219,0.8842937480367051,0.00019867426909859272,0.0033333333337051386,-9.390627978571043e-06
0.0001230481426276794,8125.900403737198,0.01,51455955.12375998,1.0112340388305303,155580797208.56168,-516879724.25870746,0.2669343707772714,-0.0008868251509058016,0.31233587445622685,0.0033333333288902032,0.0033333346662722807,0.23040380871579874,0.00027891287787904423,0.8808557362392523,0.00019924810880490165,0.003333333333713464,-9.386096525725951e-06
0.00012399699944879165,8063.711278864296,0.01,50731750.256792076,1.0112841678005753,152024747627.65442,-505065606.04971325,0.268333189298019,-0.0008914723884823819,0.31397611688310356,0.0033333333287862733,0.00333333469745134,0.22986325755694198,0.000280802878322546,0.8774812543126462,0.000199829801388791,0.003333333333721977,-9.381625475177847e-06
0.0001249531731561874,8001.99804111443,0.01,50018050.024540745,1.0113343713583811,148549977284.60065,-493521518.53126216,0.269735973134016,-0.0008961327998628188,0.31562103599339086,0.0033333333286799114,0.003333334729359816,0.22932116506868677,0.00028269842593311095,0.8741692815848152,0.00020041941300141873,0.0033333333337306793,-9.377216693775393e-06
0.00012591672017231442,7940.757048877391,0.01,49314698.67911972,1.0113846480685658,145154628411.57394,-482241289.71721995,0.2711426983224622,-0.0009008063054364539,0.31727060390732714,0.0033333333285710622,0.0033333347620145837,0.22877754043813953,0.0002845995960336527,0.870918820604725,0.0002010170102075123,0.003333333333739577,-9.372872064145158e-06
0.00012688769735470985,7879.984688409446,0.01,48621542.81351598,1.0114349964827674,141836885703.01917,-471218888.692121,0.2725533405356467,-0.0009054928243803005,0.31892479231692633,0.0033333333284596665,0.003333334795433407,0.22823239299353162,0.00028650646457954694,0.8677288964404192,0.00020162265998778427,0.003333333333748673,-9.368593484637054e-06
0.00012786616199935346,7819.67737362021,0.01,47938431.32615452,1.0114854151397237,138594975345.11508,-460448422.3867918,0.2739678750815261,-0.0009101922746609628,0.3205835724866309,0.0033333333283456653,0.003333334829633605,0.22768573220400434,0.00028841910816258137,0.8645985560016687,0.0002022364297413728,0.0033333333337579726,-9.36438286926788e-06
0.00012885217184405037,7759.831545860932,0.01,47265215.385998644,1.0115359025653536,135427164067.40787,-449924132.4276317,0.2753862769043719,-0.0009149045730367897,0.32224691525404564,0.0033333333282289978,0.003333334864634052,0.22713756767936713,0.0002903376040149295,0.861526867386228,0.00020285838728830973,0.00333333333376748,-9.360242147662983e-06
0.00012984578507183636,7700.443673714602,0.01,46601748.39818288,1.0115864572728435,132331758216.13316,-439640392.0579483,0.2768085205854798,-0.0009196296350602287,0.3239147910307435,0.0033333333281096015,0.0033333349004529556,0.22658790916983246,0.00029226203001315223,0.8585129192487483,0.00020348860087201904,0.0033333333337772007,-9.356173264994904e-06
0.00013084706031441263,7641.510252787478,0.01,45947885.97016564,1.0116370777627326,129307102848.70775,-429591703.12962466,0.27823458034394694,-0.0009243673750804097,0.3255871698031507,0.0033333333279874115,0.0033333349371098553,0.22603676656572363,0.00029419246468221646,0.8555558201914547,0.0002041271391618402,0.003333333333787137,-9.35217818192092e-06
0.00013185605665560506,7583.0278055023355,0.01,45303485.87839742,1.0116877625230047,126351580848.92538,-419772693.1635703,0.27966443003751285,-0.0009291177062459373,0.3272640211335075,0.003333333327862364,0.0033333349746242913,0.22548414989715873,0.0002961289871995449,0.8526546981757109,0.00020477407125558437,0.0033333333337972966,-9.348258874517044e-06
0.0001328728336348497,7524.99288089331,0.01,44668408.03549535,1.011738510029182,123463612062.37604,-410178112.47735983,0.2810980431634647,-0.0009338805405078996,0.32894531416090345,0.003333333327734391,0.0033333350130160255,0.22493006933370938,0.00029807167739908356,0.8498086999536607,0.0002054294666821165,0.0033333333338076824,-9.344417334210834e-06
0.0001338974512507081,7467.40205440215,0.01,44042514.45791451,1.011789318744418,120641652451.61986,-400802831.3785021,0.28253539285961476,-0.0009386557886231152,0.330631017602397,0.003333333327603425,0.0033333350523061522,0.2243745351840318,0.0003000206157753993,0.8470169905191443,0.00020609339540396892,0.003333333333818301,-9.340655567711894e-06
0.00013492996996440545,7410.251927676262,0.01,43425669.23411282,1.0118401871195999,117884193270.68095,-391641837.42189443,0.2839764519053362,-0.000943443360157574,0.33232109975420454,0.003333333327469395,0.0033333350925148775,0.22381755789547525,0.0003019758834877993,0.8442787525771545,0.00020676592781998477,0.003333333333829156,-9.336975596939965e-06
0.00013597045070340064,7353.5391283680565,0.01,42817738.4931967,1.0118911135934467,115189760258.39902,-382690232.72992784,0.28542119272267363,-0.0009482431634901267,0.33401552849297583,0.00333333332733223,0.0033333351336644057,0.22325914805366154,0.00030393756236447503,0.84159318603111,0.00020744713476799153,0.003333333333840254,-9.333379458951145e-06
0.00013701895486497917,7297.260309936076,0.01,42218590.3740455,1.011942096592615,112556912850.22835,-373943231.37387913,0.2868695873775123,-0.0009530551058163701,0.33571427127713904,0.003333333327191857,0.0033333351757764973,0.22269931638204216,0.0003059057349066757,0.8389595074872499,0.00020813708752750703,0.0033333333338516004,-9.329869205861507e-06
0.00013807554431987816,7241.412151447403,0.01,41628094.99490234,1.011993134531806,109984243408.04321,-365396156.8151245,0.2883216075808233,-0.0009578790931527823,0.3374172951483339,0.0033333333270481997,0.0033333352188735788,0.22213807374142572,0.00030788048429290164,0.8363769497755095,0.0002088358578224743,0.003333333333863199,-9.326446904768846e-06
0.00013914028141593626,7185.991357381761,0.01,41046124.42342845,1.0120442258138735,107470376467.55333,-357044439.4048591,0.28977722468996864,-0.0009627150303410601,0.339124566732916,0.0033333333269011827,0.0033333352629785207,0.22157543112948272,0.00030986189438313047,0.8338447614862387,0.00020954351782403175,0.003333333333875058,-9.323114637672881e-06
0.0001402132289817721,7130.994657437075,0.01,40472552.647212,1.0120953688299386,105013968002.9208,-348883613.9409637,0.29123640971007686,-0.0009675628210526882,0.3408360522435431,0.0033333333267507263,0.003333335308115526,0.22101139968022257,0.00031185004972306217,0.8313622065221729,0.0002102601401533114,0.003333333333887181,-9.319874501392643e-06
0.00014129445033049352,7076.418806336405,0.01,39907255.5447234,1.0121465619595016,102613704708.17964,-340909317.280694,0.29269913329548863,-0.0009724223677937419,0.34255171748084334,0.003333333326596751,0.003333335354308131,0.2204459906634439,0.0003138450355483985,0.8289285636650731,0.00021098579788427426,0.0033333333338995755,-9.316728607481847e-06
0.00014238400926343137,7022.260583636557,0.01,39350110.85671377,1.0121978035705632,100268303295.08813,-333117286.0079648,0.29416536575126423,-0.0009772935719098957,0.34427152783515685,0.003333333326439174,0.0033333354015812056,0.2198792154841609,0.0003158469377891438,0.8265431261564987,0.00021172056454657603,0.0033333333339122463,-9.313679082143054e-06
